status,alias,nazwa,typ,resolution,fps,codec,streamid,server,hls,poprzedni_status,adres_strony,uwagi
ONLINE,porttorre,Hiszpania - Port Torredembarra,morze / port / plaża,2560x1920,20.00,h264,a6gfncsz9wijqzv1b,http://s166.ipcamlive.com/,https://s166.ipcamlive.com/streams/a6gfncsz9wijqzv1b/stream.m3u8,ONLINE,https://www.ipcamlive.com/porttorre,segment OK
ONLINE,5b1a9a31a1f64,Lake Geneva Yacht Club,morze / port / plaża,1920x1080,30.03,h264,8dpkibxvwr5czrky4,http://s141.ipcamlive.com/,https://s141.ipcamlive.com/streams/8dpkibxvwr5czrky4/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/5b1a9a31a1f64,segment OK
ONLINE,65f00165e60f4,Nahariya - molo/plaża 1,morze / port / plaża,1920x1080,25.06,h264,7awnjsoylcivcd6qg,http://s122.ipcamlive.com/,https://s122.ipcamlive.com/streams/7awnjsoylcivcd6qg/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/65f00165e60f4,segment OK
ONLINE,65f00024400d7,Nahariya - molo/plaża 2,morze / port / plaża,1920x1080,25.06,h264,1bwus8nvjetz9wcii,http://s27.ipcamlive.com/,https://s27.ipcamlive.com/streams/1bwus8nvjetz9wcii/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/65f00024400d7,segment OK
ONLINE,594049acc6784,North Beach Kiten Atliman,morze / port / plaża,1920x1080,20.83,h264,4c1fe6h5mgwly8ztl,http://s76.ipcamlive.com/,https://s76.ipcamlive.com/streams/4c1fe6h5mgwly8ztl/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/594049acc6784,segment OK
ONLINE,ottensharbor,Ottens Harbor,morze / port / plaża,2688x1520,30.03,h264,9e1aubfkdysva3xp4,http://s158.ipcamlive.com/,https://s158.ipcamlive.com/streams/9e1aubfkdysva3xp4/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/ottensharbor,segment OK
ONLINE,piercestownchurch,Piercestown Murrintown Church,morze / port / plaża,1920x1080,25.06,h264,a9hskalmnu93fi5tj,http://s169.ipcamlive.com/,https://s169.ipcamlive.com/streams/a9hskalmnu93fi5tj/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/piercestownchurch,segment OK
ONLINE,6690f8f74882c,RPA - Ladysmith Airport,morze / port / plaża,704x576,25.00,h264,adhsz4rtltavq6u5f,http://s173.ipcamlive.com/,https://s173.ipcamlive.com/streams/adhsz4rtltavq6u5f/stream.m3u8,ONLINE,https://www.ipcamlive.com/6690f8f74882c,segment OK
ONLINE,thelandingattheboathouse,The Landing at the Boathouse - Myrtle Beach,morze / port / plaża,1920x1080,29.94,h264,351scx0ik2pnlnesa,http://s53.ipcamlive.com/,https://s53.ipcamlive.com/streams/351scx0ik2pnlnesa/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/thelandingattheboathouse,segment OK
ONLINE,belcekizbeachclub,Turcja - Belcekiz Beach,morze / port / plaża,1920x1080,25.00,h265,68u9efy05yrokw6aj,http://s104.ipcamlive.com/,https://s104.ipcamlive.com/streams/68u9efy05yrokw6aj/stream.m3u8,ONLINE,https://www.ipcamlive.com/belcekizbeachclub,segment OK
